tag,root,pos,count
1girl,girl,NOUN,4317542
bangs,bang,NOUN,1576060
blunt_bangs,bang,NOUN,178797
brown_hair,hair,NOUN,1092727
hair_bun,bun,NOUN,157335
hime_cut,cut,NOUN,15945
long_hair,hair,NOUN,3052352
mask,mask,NOUN,79604
ribbon,ribbon,NOUN,808778
solo,solo,PROPN,3589817
yellow_eyes,eye,NOUN,459526
black_legwear,legwear,NOUN,149410
black_skirt,skirt,NOUN,177284
blue_eyes,eye,NOUN,1252993
blush,blush,NOUN,2087252
boots,boot,NOUN,327495
breath,breath,NOUN,35040
brown_footwear,footwear,NOUN,63097
camouflage,camouflage,NOUN,7556
earmuffs,earmuff,NOUN,11728
fishing,fishing,NOUN,1781
fishing_line,line,NOUN,770
fishing_rod,rod,NOUN,3573
hammer_and_sickle,hammer,NOUN,2110
hat,hat,NOUN,896525
ice,ice,NOUN,20472
jacket,jacket,NOUN,514394
pantyhose,pantyhose,NOUN,366891
silver_hair,hair,NOUN,82370
simple_background,background,NOUN,1108060
sitting,sit,VERB,646562
skirt,skirt,NOUN,1123349
stool,stool,NOUN,7078
white_background,background,NOUN,902061
white_headwear,headwear,NOUN,68070
2girls,girl,NOUN,742867
bare_shoulders,shoulder,NOUN,674489
eye_contact,contact,NOUN,28552
grabbing,grab,VERB,60723
height_difference,difference,NOUN,18076
looking_at_another,look,VERB,142533
multiple_girls,girl,NOUN,1139428
neckerchief,neckerchief,NOUN,106364
remodel_(kantai_collection),remodel,PROPN,14910
scarf,scarf,NOUN,153320
sweat,sweat,NOUN,343582
sweatdrop,sweatdrop,NOUN,149422
two_side_up,up,ADV,117622
yuri,yuri,PROPN,149145
barefoot,barefoot,ADJ,265976
bikini,bikini,NOUN,356483
bikini_top,top,NOUN,31689
black_hair,hair,NOUN,1008420
braid,braid,PROPN,429550
glasses,glass,NOUN,269135
headband,headband,NOUN,75314
innertube,innertube,PROPN,22932
sarong,sarong,PROPN,10766
semi-rimless_eyewear,eyewear,NOUN,31672
side_braid,braid,NOUN,31096
swimsuit,swimsuit,NOUN,475843
breasts,breast,NOUN,2382397
cleavage,cleavage,NOUN,710787
closed_eyes,eye,NOUN,466686
day,day,NOUN,248564
eyewear_removed,remove,VERB,7984
field,field,NOUN,8784
giant,giant,ADJ,9324
giantess,giantess,PROPN,6657
large_breasts,breast,NOUN,1112240
mountain,mountain,NOUN,17335
open_mouth,mouth,NOUN,1606035
plump,plump,ADJ,20179
red-framed_eyewear,eyewear,NOUN,23402
road,road,NOUN,11837
smoke,smoke,NOUN,25684
striped,stripe,VERB,219209
striped_bikini,bikini,NOUN,20188
aircraft,aircraft,NOUN,16311
airplane,airplane,NOUN,11982
animal_ears,ear,NOUN,748443
brown_eyes,eye,NOUN,656974
building,building,NOUN,39659
city,city,NOUN,17226
destruction,destruction,NOUN,1838
headphones,headphone,NOUN,69171
heart,heart,NOUN,372657
jewelry,jewelry,NOUN,664193
necklace,necklace,NOUN,160403
shorts,short,NOUN,271349
size_difference,difference,NOUN,13610
tongue,tongue,PROPN,251074
blue_sky,sky,NOUN,117449
dated,date,VERB,125428
eyebrows_visible_through_hair,eyebrow,NOUN,0
outdoors,outdoors,ADJ,342079
power_lines,line,NOUN,6499
sky,sky,NOUN,286632
stream,stream,NOUN,1319
town,town,NOUN,2193
under-rim_eyewear,eyewear,NOUN,21632
blue_hair,hair,NOUN,579619
error,error,NOUN,6448
gigantic_breasts,breast,NOUN,5734
head_fins,fin,NOUN,8037
japanese_clothes,clothe,NOUN,296330
kimono,kimono,PROPN,168612
mermaid,mermaid,PROPN,8760
monster_girl,girl,NOUN,43066
obi,obi,PROPN,60833
sash,sash,PROPN,98604
short_hair,hair,NOUN,1603627
smile,smile,PROPN,1952851
3girls,girl,NOUN,184864
ahoge,ahoge,PROPN,420527
blonde_hair,hair,NOUN,1120358
gloves,glove,NOUN,910322
green_eyes,eye,NOUN,598407
red_gloves,glove,NOUN,26649
santa_costume,costume,NOUN,24338
santa_gloves,glove,NOUN,1097
belly,belly,NOUN,9842
red_eyes,eye,NOUN,916663
cloud,cloud,NOUN,201890
from_below,from,ADP,56308
hands_on_hips,hand,NOUN,21407
heterochromia,heterochromia,NOUN,69366
looking_at_viewer,look,VERB,2154225
looking_down,look,VERB,60577
panties,pantie,NOUN,514363
striped_panties,pantie,NOUN,37614
thighhighs,thighhigh,NOUN,906829
underwear,underwear,NOUN,620543
upskirt,upskirt,PROPN,27838
covered_nipples,nipple,NOUN,126666
green_hair,hair,NOUN,293437
huge_breasts,breast,NOUN,141886
see-through,see,VERB,104754
tiara,tiara,PROPN,47636
!,!,PUNCT,24302
!!,!,PUNCT,7053
boned_meat,meat,NOUN,1500
broom,broom,NOUN,25784
drooling,drool,VERB,37348
food,food,NOUN,301304
hat_ornament,ornament,NOUN,22720
heart-shaped_pupils,pupil,NOUN,60652
hungry,hungry,ADJ,759
meat,meat,NOUN,5284
reaching,reach,VERB,5250
red_hair,hair,NOUN,347976
scared,scare,VERB,9187
star_(symbol),star,NOUN,155292
star_hat_ornament,ornament,NOUN,7378
symbol-shaped_pupils,pupil,NOUN,100106
tears,tear,NOUN,190623
thought_bubble,bubble,PROPN,19271
twin_braids,braid,NOUN,130504
witch_hat,hat,NOUN,77200
you_gonna_get_eaten,go,PART,140
cloudy_sky,sky,NOUN,48887
moon,moon,NOUN,56603
one-piece_swimsuit,swimsuit,NOUN,102500
squid_hat,hat,NOUN,165
tentacle_hair,hair,NOUN,18493
tentacles,tentacle,NOUN,30309
toned,toned,PROPN,22632
white_swimsuit,swimsuit,NOUN,0
if_they_mated,mate,VERB,1874
twintails,twintail,NOUN,661713
white_hair,hair,NOUN,422484
1boy,boy,NOUN,906783
boy_on_top,boy,NOUN,4582
genderswap,genderswap,PROPN,35943
genderswap_(ftm),genderswap,PROPN,7802
genderswap_(mtf),genderswap,PROPN,27697
leg_lock,lock,NOUN,2739
small_breasts,breast,NOUN,334441
socks,sock,NOUN,242453
trembling,tremble,VERB,52850
armpit_peek,peek,NOUN,5108
knife,knife,NOUN,46408
reverse_grip,grip,NOUN,4529
school_uniform,uniform,NOUN,597479
animal_print,print,NOUN,43913
bat_print,print,NOUN,4038
demon_girl,girl,NOUN,50672
elbow_gloves,glove,NOUN,229060
head_wings,wing,NOUN,40825
leotard,leotard,NOUN,126211
print_legwear,legwear,NOUN,10373
purple_hair,hair,NOUN,436580
purple_legwear,legwear,NOUN,7152
red_leotard,leotard,PROPN,8844
wings,wing,NOUN,289882
bare_hips,hip,NOUN,2270
hair_pulled_back,pull,VERB,6071
hip_vent,vent,PROPN,9700
ninja,ninja,PROPN,11619
blue_skirt,skirt,NOUN,113609
kita_high_school_uniform,uniform,NOUN,11558
long_sleeves,sleeve,NOUN,917090
medium_hair,hair,NOUN,181266
serafuku,serafuku,PROPN,254214
crossed_legs,leg,NOUN,50154
legs,leg,NOUN,104420
thighs,thigh,NOUN,361994
censored,censor,VERB,317902
cum,cum,INTJ,181472
fellatio,fellatio,PROPN,45331
hetero,hetero,PROPN,393613
mosaic_censoring,censoring,NOUN,134764
oral,oral,ADJ,55466
penis,peni,NOUN,284043
solo_focus,focus,NOUN,252692
red_kimono,kimono,PROPN,11333
dress,dress,NOUN,859724
eyepatch,eyepatch,NOUN,58220
:q,:,PUNCT,22294
bag,bag,NOUN,155922
cat_hair_ornament,ornament,NOUN,4215
cowboy_shot,shot,NOUN,345814
hair_ornament,ornament,NOUN,965629
hairclip,hairclip,NOUN,230484
licking_lips,lick,VERB,15226
looking_back,look,VERB,212266
mole,mole,NOUN,148944
mole_on_ass,mole,NOUN,1363
print_scarf,scarf,NOUN,526
shoulder_bag,bag,NOUN,17873
tongue_out,tongue,NOUN,179409
wind,wind,NOUN,39783
wind_lift,lift,NOUN,12610
winter,winter,NOUN,7575
stuffed_animal,animal,NOUN,49940
stuffed_bunny,bunny,NOUN,11250
stuffed_toy,toy,NOUN,58265
mole_under_mouth,mole,NOUN,33875
shadow,shadow,NOUN,73819
cat,cat,NOUN,53969
ground_vehicle,vehicle,NOUN,40161
train,train,NOUN,3410
clothes_lift,lift,VERB,154003
hairband,hairband,NOUN,336653
medium_breasts,breast,NOUN,656238
nipples,nipple,NOUN,603992
shirt_lift,lift,NOUN,61271
ballerina,ballerina,PROPN,1221
ballet,ballet,NOUN,1015
bare_legs,leg,NOUN,89949
footwear_ribbon,ribbon,NOUN,984
no_legwear,legwear,NOUN,3893
orange_hair,hair,NOUN,151199
pendant,pendant,NOUN,26764
pointe_shoes,shoe,NOUN,1163
tutu,tutu,PROPN,881
bat_wings,wing,NOUN,48625
:p,:p,PUNCT,29572
armpits,armpit,NOUN,172664
beads,bead,NOUN,23181
choker,choker,NOUN,252584
copyright_name,name,NOUN,77086
detached_sleeves,sleeve,NOUN,303501
flat_chest,chest,NOUN,128629
flower,flower,NOUN,423135
formal,formal,ADJ,58377
gem,gem,NOUN,38384
hair_between_eyes,hair,NOUN,715200
hair_flower,flower,NOUN,188838
halterneck,halterneck,PROPN,67920
hands_on_own_face,hand,NOUN,10601
house,house,NOUN,8042
lace,lace,NOUN,32476
nail_polish,polish,NOUN,153749
pillar,pillar,NOUN,5754
red_nails,nail,NOUN,31947
stairs,stair,NOUN,17635
standing,stand,VERB,567960
tree,tree,NOUN,116534
watermark,watermark,PROPN,66191
wavy_hair,hair,NOUN,65988
wide_sleeves,sleeve,NOUN,177978
bodysuit,bodysuit,NOUN,81857
pink_bodysuit,bodysuit,NOUN,2643
alternate_color,alternate,VERB,15532
amazon,amazon,NOUN,0
earrings,earring,NOUN,340059
groin,groin,PROPN,109917
midriff,midriff,NOUN,221995
navel,navel,PROPN,804622
revealing_clothes,clothe,NOUN,36277
skull,skull,NOUN,21449
snake,snake,NOUN,16600
arms_behind_back,arm,NOUN,60817
open_fly,fly,PROPN,11011
pants,pant,NOUN,216379
railing,railing,NOUN,14913
scar,scar,NOUN,64839
tight,tight,ADJ,9882
tight_pants,pant,NOUN,3397
unzipped,unzipped,PROPN,13110
monochrome,monochrome,NOUN,485634
no_panties,pantie,NOUN,77697
nurse,nurse,NOUN,11777
nurse_cap,cap,NOUN,16148
spread_legs,leg,NOUN,184315
stethoscope,stethoscope,NOUN,2737
child,child,NOUN,36681
teddy_bear,bear,PROPN,20430
comic,comic,NOUN,419576
greyscale,greyscale,PROPN,383181
masturbation,masturbation,NOUN,26814
vaginal,vaginal,ADJ,133643
ass,ass,INTJ,432854
cat_ears,ear,NOUN,192685
collar,collar,NOUN,129589
grass,grass,NOUN,48690
maid,maid,NOUN,99058
ocean,ocean,PROPN,68658
one_eye_closed,close,VERB,301408
tail,tail,NOUN,502588
bdsm,bdsm,PROPN,52082
cunnilingus,cunnilingus,PROPN,7591
traditional_media,medium,NOUN,62187
animal_costume,costume,NOUN,11817
bisexual_(female),female,ADJ,0
bottomless,bottomless,ADJ,72722
breast_grab,grab,NOUN,50336
christmas,christmas,PROPN,34922
doggystyle,doggystyle,NOUN,22322
gift,gift,NOUN,28627
one-piece_tan,tan,NOUN,9264
reindeer_costume,costume,NOUN,1599
santa_hat,hat,NOUN,27622
sex,sex,NOUN,181079
sex_from_behind,sex,NOUN,44001
tan,tan,PROPN,44163
tanlines,tanline,NOUN,24435
thigh_boots,boot,NOUN,66091
topless,topless,ADJ,58541
bed,bed,NOUN,82413
bedroom,bedroom,NOUN,8693
indoors,indoor,NOUN,205434
white_skirt,skirt,NOUN,51067
bar_censor,censor,NOUN,91182
cheerleader,cheerleader,NOUN,12295
girl_on_top,girl,NOUN,44848
loli,loli,PROPN,95421
pom_pom_(cheerleading),cheerleading,NOUN,11987
reverse_cowgirl_position,position,NOUN,6425
straddling,straddle,VERB,47051
lance_of_longinus,lance,PROPN,0
(9),9,NUM,0
chain,chain,NOUN,71316
uniform,uniform,NOUN,138295
alternate_costume,costume,NOUN,254271
cherry_blossoms,blossom,NOUN,41010
drinking,drinking,NOUN,13163
drunk,drunk,NOUN,10445
petals,petal,NOUN,95689
yokozuwari,yokozuwari,PROPN,14623
oekaki,oekaki,PROPN,17406
younger,young,ADJ,47311
all_fours,four,NOUN,42867
kneeling,kneel,VERB,87921
low_twintails,twintail,NOUN,69152
purple_eyes,eye,NOUN,550499
4girls,girl,NOUN,85471
=_=,=,PUNCT,20390
hair_ribbon,ribbon,NOUN,457195
mole_under_eye,mole,NOUN,91668
shirt,shirt,NOUN,1037702
sleeveless,sleeveless,ADJ,256308
sleeveless_shirt,shirt,NOUN,89466
spaghetti_strap,strap,NOUN,13088
bride,bride,NOUN,6169
cover,cover,NOUN,54633
cover_page,page,NOUN,39598
lying,lie,VERB,319193
wedding_dress,dress,NOUN,16966
after_sex,after,ADP,26716
anus,anus,PROPN,78678
condom,condom,NOUN,23534
crossdressing,crossdressing,NOUN,23337
cum_in_ass,cum,X,10323
cum_on_ass,cum,INTJ,5792
cum_on_body,cum,X,52270
cum_on_boy,cum,INTJ,2447
heart_censor,censor,NOUN,13058
high_heels,heel,NOUN,133899
male_focus,focus,NOUN,386001
shota,shota,PROPN,14638
testicles,testicle,NOUN,54635
used_condom,condom,NOUN,9191
on_stomach,on,ADP,45826
plaid,plaid,NOUN,100068
plaid_skirt,skirt,NOUN,63629
plaid_vest,vest,NOUN,7880
skirt_set,set,NOUN,36454
upper_body,body,NOUN,449127
vest,vest,NOUN,136812
demon_tail,tail,NOUN,36130
demon_wings,wing,NOUN,23621
nude,nude,PROPN,349602
shoulder_blades,blade,NOUN,9221
subtitled,subtitle,VERB,2794
beans,bean,NOUN,1122
defeat,defeat,NOUN,4276
full_body,body,NOUN,479511
hair_over_shoulder,hair,NOUN,33120
kneehighs,kneehigh,NOUN,96960
machinery,machinery,NOUN,24473
pleated_skirt,skirt,NOUN,340480
setsubun,setsubun,PROPN,2115
short_sleeves,sleeve,NOUN,399822
single_braid,braid,NOUN,87172
torn_clothes,clothe,NOUN,100759
transparent_background,background,NOUN,62438
tress_ribbon,ribbon,NOUN,19709
turret,turret,NOUN,19371
weapon,weapon,NOUN,438249
leaf,leaf,NOUN,67741
sandals,sandal,NOUN,55800
yukata,yukata,PROPN,19237
bandana,bandana,PROPN,16006
radar,radar,NOUN,425
rigging,rigging,NOUN,11469
anchor,anchor,NOUN,12705
blue_flower,flower,NOUN,23039
blue_rose,rose,PROPN,10561
face,face,NOUN,24053
horns,horn,NOUN,287667
portrait,portrait,NOUN,37643
purple_suit,suit,NOUN,241
rose,rose,PROPN,71870
single_horn,horn,NOUN,28912
ainu_clothes,clothe,NOUN,2508
bandages,bandage,NOUN,62415
blue_footwear,footwear,NOUN,20818
blue_legwear,legwear,NOUN,5567
box,box,NOUN,38084
fishing_net,net,NOUN,168
high_heel_boots,boot,NOUN,25505
rudder_footwear,footwear,NOUN,3298
sideboob,sideboob,PROPN,83014
sidelocks,sidelock,NOUN,367890
adapted_turret,turret,NOUN,1005
belt,belt,NOUN,215976
depth_charge,charge,NOUN,519
grey_eyes,eye,NOUN,103301
grey_legwear,legwear,NOUN,6081
gun,gun,NOUN,102881
holding,holding,NOUN,762842
holding_gun,gun,NOUN,36331
holding_weapon,weapon,NOUN,152970
searchlight,searchlight,NOUN,924
white_gloves,glove,NOUN,193474
cookie,cookie,NOUN,7212
eating,eat,VERB,60108
mouth_hold,hold,NOUN,62256
poi_(goldfish_scoop),poi,PROPN,149
bow,bow,NOUN,814840
bowtie,bowtie,PROPN,179491
closed_umbrella,umbrella,NOUN,5015
cross-laced_footwear,footwear,NOUN,26002
gradient_hair,hair,NOUN,82034
grey_hair,hair,NOUN,392571
hair_over_one_eye,hair,NOUN,146906
lace-up_boots,boot,NOUN,13434
multicolored_hair,hair,NOUN,353518
sleeveless_dress,dress,NOUN,77707
umbrella,umbrella,NOUN,66563
very_long_hair,hair,NOUN,640651
white_shirt,shirt,NOUN,453891
bandaid,bandaid,NOUN,34470
bandaid_on_arm,bandaid,NOUN,1906
bandaid_on_face,bandaid,NOUN,14046
bucket,bucket,NOUN,11658
crab,crab,NOUN,4266
flip-flops,flop,NOUN,2960
frills,frill,NOUN,314522
goggles,goggle,NOUN,40698
goggles_around_neck,goggle,NOUN,3183
head_tilt,tilt,NOUN,104952
shovel,shovel,PROPN,3048
side_ponytail,ponytail,NOUN,129007
torpedo,torpedo,PROPN,8651
anklet,anklet,PROPN,15633
bracelet,bracelet,NOUN,128631
bunny,bunny,PROPN,20411
cannon,cannon,PROPN,14247
fallen_down,fall,VERB,1568
handbag,handbag,NOUN,18032
pink_eyes,eye,NOUN,173965
pink_hair,hair,NOUN,440913
sticker,sticker,NOUN,1911
^_^,^,PUNCT,74595
fang,fang,PROPN,225542
hand_fan,fan,NOUN,32823
abyssal_ship,ship,NOUN,25780
anchor_hair_ornament,ornament,NOUN,7154
black_footwear,footwear,NOUN,154761
black_hakama,hakama,NOUN,2137
colored_skin,skin,NOUN,73519
drill_hair,drill,VERB,60542
glowing,glow,VERB,72680
glowing_eyes,eye,NOUN,32780
hakama,hakama,PROPN,36965
hakama_skirt,skirt,NOUN,32614
meiji_schoolgirl_uniform,uniform,NOUN,3166
teeth,teeth,NOUN,271353
white_skin,skin,NOUN,22760
between_legs,between,ADP,27205
broken,break,VERB,6146
collarbone,collarbone,NOUN,533830
hand_between_legs,hand,NOUN,19560
polka_dot,dot,NOUN,47121
ponytail,ponytail,NOUN,440374
see-through_sarong,see,VERB,375
seiza,seiza,PROPN,28050
smokestack,smokestack,NOUN,3724
torn_bikini,bikini,NOUN,466
torn_swimsuit,swimsuit,NOUN,1095
tsurime,tsurime,PROPN,27951
sailor_hat,hat,NOUN,15273
shoes,shoe,NOUN,280934
bowl,bowl,NOUN,22805
gyuudon,gyuudon,PROPN,195
from_behind,from,ADP,154136
hair_flaps,flap,NOUN,32161
udon,udon,PROPN,486
white_scarf,scarf,NOUN,13765
damaged,damaged,ADJ,5570
food_on_face,food,NOUN,13911
hair_tubes,tube,NOUN,60652
red_footwear,footwear,NOUN,38301
wince,wince,PROPN,14050
headgear,headgear,NOUN,69289
platform_footwear,footwear,NOUN,7949
platform_heels,heel,NOUN,1342
armor,armor,NOUN,146387
blunt_tresses,tress,NOUN,791
christmas_tree,tree,NOUN,7212
buttons,button,NOUN,77680
cup,cup,NOUN,116786
double-breasted,breast,VERB,12772
flying_boat,boat,NOUN,158
miniskirt,miniskirt,PROPN,178000
tea,tea,PROPN,8910
wavy_mouth,mouth,NOUN,57508
dazzle_paint,paint,NOUN,123
footwear_bow,bow,NOUN,3393
frilled_bikini,bikini,NOUN,24026
front-tie_top,top,NOUN,32591
knees_together_feet_apart,knee,NOUN,19863
strappy_heels,heel,NOUN,2348
toeless_footwear,footwear,NOUN,4431
white_bikini,bikini,NOUN,63834
:d,:,PUNCT,396670
denim,denim,PROPN,46168
fringe_trim,trim,NOUN,6854
jeans,jean,NOUN,19075
looking_over_eyewear,look,VERB,2053
orange_scarf,scarf,NOUN,1947
pocket,pocket,NOUN,22798
sunglasses,sunglass,NOUN,54273
sweater,sweater,NOUN,124957
@_@,@,PUNCT,19171
anchor_symbol,symbol,NOUN,15223
black_gloves,glove,NOUN,246380
boat,boat,NOUN,4347
covering,covering,NOUN,35450
covering_breasts,breast,NOUN,17126
firing,fire,VERB,5137
grey_footwear,footwear,NOUN,7873
hachimaki,hachimaki,PROPN,7836
knee_boots,boot,NOUN,49708
looking_away,look,VERB,62832
muzzle_flash,flash,NOUN,712
torn_bodysuit,bodysuit,NOUN,2642
torn_legwear,legwear,NOUN,14820
torn_shirt,shirt,NOUN,6830
torn_skirt,skirt,NOUN,4057
underboob,underboob,PROPN,76735
watercraft,watercraft,NOUN,9776
bra,bra,INTJ,147788
elf,elf,NOUN,40442
lingerie,lingerie,ADJ,49160
pointy_ears,ear,NOUN,243621
underwear_only,underwear,NOUN,52808
water,water,NOUN,162089
androgynous,androgynous,ADJ,29094
blood,blood,NOUN,82953
licking,lick,VERB,29328
cameltoe,cameltoe,NOUN,74134
smirk,smirk,NOUN,18810
dark-skinned_female,female,NOUN,119276
dark_skin,skin,NOUN,187192
female_pubic_hair,hair,NOUN,62430
pubic_hair,hair,NOUN,95955
yellow_panties,pantie,NOUN,4096
cat_girl,girl,NOUN,45600
squatting_cowgirl_position,position,NOUN,4560
otoko_no_ko,ko,INTJ,40472
2boys,boy,NOUN,181681
multiple_boys,boy,NOUN,294789
multiple_penises,penis,NOUN,31976
uncensored,uncensored,ADJ,84808
crustacean,crustacean,NOUN,453
pale_skin,skin,NOUN,37245
pink_panties,pantie,NOUN,39038
breast_sucking,sucking,NOUN,8623
bridal_gauntlets,gauntlet,NOUN,33365
bustier,bustier,PROPN,4348
hand_in_panties,hand,NOUN,2645
incest,incest,NOUN,10311
leg_garter,garter,PROPN,12667
lens_flare,flare,VERB,27464
mole_on_breast,mole,NOUN,21928
ribbon_choker,choker,NOUN,9961
saliva,saliva,PROPN,85111
string_panties,pantie,NOUN,9920
white_legwear,legwear,NOUN,98656
bent_over,bend,VERB,46790
breasts_outside,breast,NOUN,47420
clothed_female_nude_male,male,NOUN,24171
wrestling,wrestling,NOUN,2005
pussy,pussy,NOUN,260847
angry,angry,ADJ,31264
cat_tail,tail,NOUN,106859
clenched_hands,hand,NOUN,25828
curvy,curvy,ADJ,26939
fangs,fang,NOUN,66437
fighting_stance,stance,NOUN,16642
fingerless_gloves,glove,NOUN,176006
kicking,kicking,NOUN,9029
pantyshot,pantyshot,PROPN,57888
print_panties,pantie,NOUN,6463
thick_thighs,thigh,NOUN,62353
white_panties,pantie,NOUN,144974
anal,anal,PROPN,36039
futanari,futanari,PROPN,22019
futasub,futasub,PROPN,860
no_testicles,testicle,NOUN,1370
object_insertion,insertion,NOUN,19035
urethral_insertion,insertion,NOUN,861
2009,2009,NUM,1224
bell,bell,PROPN,85688
bondage,bondage,NOUN,44181
bound,bind,VERB,57960
bound_wrists,wrist,NOUN,12678
chinese_zodiac,zodiac,NOUN,11759
completely_nude,nude,ADJ,96689
cow_girl,girl,NOUN,7378
cowbell,cowbell,PROPN,8341
cuffs,cuff,NOUN,23778
ear_tag,tag,NOUN,2276
fence,fence,NOUN,16125
neck_bell,bell,NOUN,29545
new_year,year,NOUN,22290
on_ground,on,ADP,7627
tattoo,tattoo,NOUN,81832
year_of_the_ox,year,NOUN,2600
futa_with_female,futa,NOUN,8880
implied_futanari,imply,VERB,1760
motion_lines,line,NOUN,40416
prone_bone,bone,NOUN,2634
ribs,rib,NOUN,6414
cleft_of_venus,cleft,NOUN,12867
hip_focus,focus,NOUN,14626
no_bra,bra,NOUN,84515
spandex,spandex,NOUN,2500
big_eyes,eye,NOUN,423
floral_print,print,NOUN,59284
parasol,parasol,PROPN,9883
red_dress,dress,NOUN,56389
black_coat,coat,NOUN,20544
coat,coat,NOUN,112742
undressing,undressing,NOUN,46646
black_eyes,eye,NOUN,140284
against_glass,against,ADP,3835
amputee,amputee,ADJ,4930
backpack,backpack,NOUN,51759
breast_press,press,NOUN,38286
breasts_on_glass,breast,NOUN,1683
carrying,carry,VERB,30667
convenient_censoring,censoring,NOUN,34169
in_container,in,ADP,8728
jumpsuit,jumpsuit,NOUN,5084
quadruple_amputee,amputee,NOUN,549
rope,rope,NOUN,36313
stomach,stomach,NOUN,159542
strap,strap,NOUN,8143
submerged,submerge,VERB,3146
tube,tube,NOUN,1759
bound_arms,arm,NOUN,8661
you_gonna_get_raped,go,PART,3965
couple,couple,NOUN,45988
hug,hug,NOUN,85174
popped_collar,collar,NOUN,4743
baseball_cap,cap,NOUN,32704
blue_shorts,short,NOUN,23139
exposed_pocket,pocket,NOUN,667
wristband,wristband,NOUN,38474
arm_grab,grab,NOUN,12944
arm_held_back,hold,VERB,2529
ass_grab,grab,NOUN,20626
back,back,ADV,65707
bed_sheet,sheet,NOUN,70787
black_hairband,hairband,NOUN,48208
crown,crown,NOUN,47268
faceless,faceless,ADJ,27258
faceless_male,male,NOUN,20742
french_braid,braid,NOUN,28998
hair_intakes,intake,NOUN,59102
hanging_breasts,breast,NOUN,14701
long_legs,leg,NOUN,21250
male_pubic_hair,hair,NOUN,33817
mini_crown,crown,NOUN,11270
outstretched_arms,arm,NOUN,47871
ring,ring,NOUN,53270
speech_bubble,bubble,NOUN,125629
spiked_hair,hair,NOUN,43828
talking,talk,VERB,12224
wedding_band,band,NOUN,12484
wrist_cuffs,cuff,NOUN,102695
x-ray,x,INTJ,7682
chaldea_uniform,uniform,NOUN,6212
command_spell,spell,NOUN,3912
machine_gun,gun,NOUN,4451
wall,wall,NOUN,9172
x_hair_ornament,ornament,NOUN,46528
english_text,text,NOUN,124026
fighter_jet,jet,NOUN,1631
jet,jet,NOUN,2273
military,military,ADJ,95720
military_vehicle,vehicle,NOUN,13034
no_humans,human,NOUN,90733
people's_liberation_army,army,PROPN,133
typo,typo,NOUN,2506
anger_vein,vein,NOUN,32954
armband,armband,NOUN,34899
character_name,name,NOUN,137824
glowstick,glowstick,NOUN,2205
stage,stage,NOUN,3304
stage_lights,light,NOUN,2199
two-tone_hair,hair,NOUN,127096
white_footwear,footwear,NOUN,54725
zettai_ryouiki,ryouiki,PROPN,110579
destroyer,destroyer,NOUN,293
ship,ship,NOUN,5032
warship,warship,NOUN,1941
military_uniform,uniform,NOUN,81120
fashion,fashion,NOUN,2635
hand_on_headwear,hand,NOUN,14085
plant,plant,NOUN,46595
strap_slip,slip,NOUN,29055
